Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dhirubhai Naranbhai Patel,Male,Hindu,,13-Mar-1960,NA,NA,7-Mar-2004,12-Mar-2022,No,No,Gujarat High Court,Yes,Jharkhand High Court,3-Feb-2009,,,,,Yes,Jharkhand High Court,Delhi High Court,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,NA,"M.G..Science College, Ahmedabad",BSc,"Sir L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,Yes,Yes
Chaitanya Kastubprasad Buch,Male,Hindu,,17-May-1947,NA,NA,11-Dec-1997,17-May-2009,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1972,Gujarat,No,No,No
Ramesh Prabhudas Dholakia,Male,Hindu,,28-Jun-1947,NA,NA,11-Dec-1997,2-Jun-2009,No,Yes,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,Saurashtra University,NA,"Sir L.A. Shah Law College, Ahmedabad",1973,1988,Gujarat,No,No,No
K. S. Radhakrishnan,Male,Hindu,,15-May-1949,NA,NA,17-May-1995,14-May-2014,No,No,Kerala High Court,No,,,,,,,Yes,Jammu & Kashmir High Court,Gujarat High Court,,Yes,17-Sep-2009,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,,1973,Kerala,No,No,Yes
Mohit Shantilal Shah,Male,Hindu,,28-Jun-1947,Gujarat,Vijapur,18-Sep-1995,9-Sep-2015,No,No,Gujarat High Court,No,,,,,,,Yes,Calcutta High Court,Bombay High Court,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,Maharaja Sayajirao University,BA,NA,1976,1976,Gujarat,No,No,Yes
Jaypraksh Ramakant Vora,Male,Hindu,,9-Jan-1948,NA,NA,11-Dec-1997,9-Jan-2010,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1973,Gujarat,No,No,No
Sharadkumar Devprasad Dave,Male,Hindu,,15-Jan-1948,NA,NA,30-Mar-2001,15-Jan-2010,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,"M. S. University, Vadodara",BA,"Sir L. A. Shah Law College, Ahmedabad",,1973,Gujarat,No,No,Yes
Rekha Manharlal Doshit,Female,Hindu,,13-Dec-1952,Gujarat,Rajkot,18-Sep-1995,12-Dec-2014,No,No,Gujarat High Court,No,,,,,,,Yes,Patna High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,NA,Bombay University,BSc,"Sir L. A. Shah Law College, Ahmedabad",1976,1977,Gujarat,No,No,No
Bhagwati Prasad,Male,Hindu,,13-Jul-1949,Rajasthan,Bahadra,6-Apr-1996,12-May-2011,No,No,Rajasthan High Court,Yes,Gujarat High Court,7-Feb-2008,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,"Government College, Hisar, Haryana (Punjab University, Chandigarh)",BSc,"Doongar College, Bikaner, Rajasthan (Rajasthan University, Jaipur)",1972,1972,Rajasthan,No,No,Yes
Dhiren Arvind Mehta,Male,Hindu,,2-Dec-1948,Gujarat,Bhavnagar,18-Sep-2000,2-Dec-2010,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,NA,"Bhavan's College, Bombay",BA,"M. S. University, Vadodara",1974,1974,Gujarat,No,No,Yes
Arvind Mohanlal Kapadia,Male,Hindu,,4-Mar-1949,NA,NA,11-Dec-1997,4-Mar-2011,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,BA,NA,1971,1972,Gujarat,No,No,No
Kantilal Ambalal Puj,Male,Hindu,,2-May-1949,NA,NA,3-Dec-2001,1-May-2011,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,NA,NA,BA ,"Sir L. A. Shah Law College, Ahmedabad",,1976,Gujarat,No,Yes,No
P.P. Bhatt,Male,Hindu,,6-Sep-1956,NA,NA,17-Nov-2011,5-Sep-2018,No,No,Gujarat High Court,Yes,Jharkhand High Court,27-Jun-2011,Gujarat High Court,11-Feb-2016,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,"H.K.Arts College, Ahmedabad",BA,"Sir L.A.Shah Law College, Ahmedabad",,1984,Gujarat,No,No,No
Harshvadan B Antani,Male,Hindu,,30-Jun-1949,NA,NA,14-Jun-2005,29-Jun-2011,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,NA,Gujarat University,BA,Gujarat University,,,Gujarat,No,No,No
S. J. Mukhopadhaya,Male,Hindu,,15-Mar-1950,NA,NA,8-Nov-1994,14-Mar-2015,No,No,Patna High Court,Yes,Jharkhand High Court,15-Nov-2000,Madras High Court,31-Aug-2006,,,Yes,Gujarat High Court,,,Yes,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,No,NA,Magadh University,BSc,Patna University,1979,1979,Bihar,No,No,No
Bankim Nikhilbhai Mehta,Male,Hindu,,18-Oct-1950,Gujarat,Baroda,14-Jun-2005,17-Aug-2012,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,Gujarat College in Ahmedabad,BSc,Sir L.A. Shah Law College,1974,,Gujarat,No,No,Yes
Pradipkumar Bhadrayulal Majmudar,Male,Hindu,,19-Nov-1950,NA,NA,17-Sep-1999,8-Sep-2012,No,No,Gujarat High Court,Yes,Rajasthan High Court,10-Apr-2007,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,NA,"M. S. University, Baroda",BCom,"M. S. University, Baroda",,1974,Gujarat,No,No,No
Harjivan Kantilal Rathod,Male,Hindu,,15-Sep-1949,Gujarat,Moti Dhari,17-Sep-1999,15-Sep-2012,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,Gujarat University,BA,NA,,1975,Gujarat,No,No,Yes
